code,is_long_permit,is_short_permit,short_pool_remain,short_fee_rate,alert_long_ratio,alert_short_ratio,im_long_ratio,im_short_ratio,mcm_long_ratio,mcm_short_ratio,mm_long_ratio,mm_short_ratio
US.ACIU,False,False,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
US.ACMMY,False,False,0.0,0.0,100.0,200.0,100.0,200.0,100.0,200.0,100.0,200.0
US.ACGX,False,False,0.0,0.0,100.0,200.0,100.0,200.0,100.0,200.0,100.0,200.0
US.ACHL,False,False,0.0,0.0,100.0,168.92000000000002,100.0,168.92000000000002,100.0,168.92000000000002,100.0,168.92000000000002
US.ACUT,False,False,0.0,0.0,100.0,200.0,100.0,200.0,100.0,200.0,100.0,200.0
US.ADAMG,False,False,0.0,0.0,100.0,56.49999999999999,100.0,60.0,100.0,55.00000000000001,100.0,40.0
US.ADAMI,False,False,0.0,0.0,100.0,56.49999999999999,100.0,60.0,100.0,55.00000000000001,100.0,40.0
US.ACBD,False,False,0.0,0.0,100.0,200.0,100.0,200.0,100.0,200.0,100.0,200.0
US.ACCO,False,False,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
US.ACFN,False,False,0.0,0.0,100.0,56.49999999999999,100.0,60.0,100.0,55.00000000000001,100.0,40.0
US.ACEL,False,False,0.0,0.0,100.0,57.116,100.0,60.0,100.0,55.879999999999995,100.0,43.519999999999996
US.ACXP,False,False,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
US.ACCR,False,False,0.0,0.0,100.0,200.0,100.0,200.0,100.0,200.0,100.0,200.0
US.ACDC,False,True,671500.0,3.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,90.0
US.ACITD,False,False,0.0,0.0,100.0,200.0,100.0,200.0,100.0,200.0,100.0,200.0
US.ACMR,True,True,482800.0,3.0,87.0,96.5,90.0,110.00000000000001,85.0,95.0,75.0,90.0
US.ACPS,False,False,0.0,0.0,100.0,200.0,100.0,200.0,100.0,200.0,100.0,200.0
US.ACTG,False,False,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
US.ACLX,False,True,48000.0,3.0,100.0,200.0,100.0,200.0,100.0,200.0,100.0,190.0
US.ACOG,False,False,0.0,0.0,100.0,75.76,100.0,75.76,100.0,75.76,100.0,75.76
US.ACU,False,False,0.0,0.0,100.0,56.49999999999999,100.0,60.0,100.0,55.00000000000001,100.0,40.0
US.ADAML,False,False,0.0,0.0,100.0,56.49999999999999,100.0,60.0,100.0,55.00000000000001,100.0,40.0
US.ACNT,False,False,0.0,0.0,100.0,56.49999999999999,100.0,60.0,100.0,55.00000000000001,100.0,40.0
US.ADBE,True,True,2054500.0,3.0,45.0,38.0,45.0,40.0,45.0,36.7,35.0,30.0
US.ADC.PRA,False,False,0.0,0.0,100.0,56.49999999999999,100.0,60.0,100.0,55.00000000000001,100.0,40.0
US.ACAHU,False,False,0.0,0.0,100.0,57.70925,100.0,60.0,100.0,56.7275,100.0,46.910000000000004
US.ACER,False,False,0.0,0.0,100.0,378.79,100.0,378.79,100.0,378.79,100.0,378.79
US.ACTHD,False,False,0.0,0.0,100.0,200.0,100.0,200.0,100.0,200.0,100.0,200.0
US.AD,False,True,35000.0,3.0,100.0,187.0,100.0,190.0,100.0,185.0,100.0,175.0
US.ACAD,True,True,732300.0,3.0,92.0,97.0,95.0,100.0,90.0,95.0,80.0,85.0
US.ACEND,False,False,0.0,0.0,100.0,200.0,100.0,200.0,100.0,200.0,100.0,200.0
US.ACBM,False,False,0.0,0.0,100.0,200.0,100.0,200.0,100.0,200.0,100.0,200.0
US.ACGLO,False,False,0.0,0.0,100.0,56.49999999999999,100.0,60.0,100.0,55.00000000000001,100.0,40.0
US.ACMTA,False,False,0.0,0.0,100.0,200.0,100.0,200.0,100.0,200.0,100.0,200.0
US.ADAM,True,True,1029400.0,3.0,87.0,217.0,90.0,220.00000000000003,85.0,215.0,75.0,204.99999999999997
US.ACAT,False,False,0.0,0.0,100.0,200.0,100.0,200.0,100.0,200.0,100.0,200.0
US.ACGL,True,True,1696900.0,3.0,48.0,68.0,50.0,70.0,46.7,66.7,40.0,60.0
US.ACGLL,False,False,0.0,0.0,100.0,200.0,100.0,200.0,100.0,200.0,100.0,200.0
US.ADACU,False,False,0.0,0.0,100.0,58.26924999999999,100.0,60.0,100.0,57.527499999999996,100.0,50.11
US.ACHC,True,True,135900.0,3.0,63.0,78.0,65.0,80.0,61.7,76.7,55.00000000000001,70.0
US.ACHR,True,True,2633985.0,3.0,80.0,200.0,80.0,200.0,80.0,200.0,70.0,190.0
US.ACZT,False,False,0.0,0.0,100.0,200.0,100.0,200.0,100.0,200.0,100.0,200.0
US.ACLHD,False,False,0.0,0.0,100.0,200.0,100.0,200.0,100.0,200.0,100.0,200.0
US.ACRS,False,True,1048400.0,3.0,100.0,227.0,100.0,229.99999999999997,100.0,225.0,100.0,215.0
US.ACSAY,False,False,0.0,0.0,100.0,200.0,100.0,200.0,100.0,200.0,100.0,200.0
US.ADAG,False,False,0.0,0.0,100.0,137.67000000000002,100.0,137.67000000000002,100.0,137.67000000000002,100.0,137.67000000000002
US.ACCYY,False,False,0.0,0.0,100.0,200.0,100.0,200.0,100.0,200.0,100.0,200.0
US.ACGBY,False,False,0.0,0.0,100.0,200.0,100.0,200.0,100.0,200.0,100.0,200.0
US.ACN,True,True,1510500.0,3.0,43.0,38.0,45.0,40.0,41.699999999999996,36.7,35.0,30.0
US.ACNE,False,False,0.0,0.0,100.0,200.0,100.0,200.0,100.0,200.0,100.0,200.0
US.ACON,False,False,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
US.ACRL,False,False,0.0,0.0,100.0,200.0,100.0,200.0,100.0,200.0,100.0,200.0
US.ACCMD,False,False,0.0,0.0,100.0,200.0,100.0,200.0,100.0,200.0,100.0,200.0
US.ACIW,True,True,704100.0,3.0,67.0,78.0,70.0,80.0,65.0,76.7,55.00000000000001,70.0
US.ACT,True,True,135000.0,3.0,78.0,100.0,80.0,100.0,76.7,100.0,70.0,90.0
US.ACVA,True,True,715200.0,3.0,78.0,117.0,80.0,120.0,76.7,114.99999999999999,70.0,105.0
US.ADCT,False,False,0.0,0.0,100.0,217.0,100.0,220.00000000000003,100.0,215.0,100.0,204.99999999999997
