code,name,lot_size,stock_type,stock_child_type,stock_owner,option_type,strike_time,strike_price,suspension,listing_date,stock_id,delisting,index_option_type,main_contract,last_trade_time,exchange_type
US.AMEX,AMEX,0,PLATE,N/A,,N/A,,N/A,N/A,1970-01-01,200303,False,N/A,False,,US_NYSE
US.GLOBALINX,Global Indices,0,PLATE,N/A,,N/A,,N/A,N/A,1970-01-01,200201,False,N/A,False,,US_NYSE
US.LIST10003,DUANXIANJINGLINGMEIGU,0,PLATE,N/A,,N/A,,N/A,N/A,1970-01-01,10010003,False,N/A,False,,US_NYSE
US.LIST20010,Crypto,0,PLATE,N/A,,N/A,,N/A,N/A,1970-01-01,10100008,False,N/A,False,,US_NYSE
US.LIST2003,Household & Personal Products,0,PLATE,N/A,,N/A,,N/A,N/A,1970-01-01,10002003,False,N/A,False,,US_NYSE
US.LIST2004,Internet Content & Information,0,PLATE,N/A,,N/A,,N/A,N/A,1970-01-01,10002004,False,N/A,False,,US_NYSE
US.LIST2005,Residential Construction,0,PLATE,N/A,,N/A,,N/A,N/A,1970-01-01,10002005,False,N/A,False,,US_NYSE
US.LIST2007,Farm Products,0,PLATE,N/A,,N/A,,N/A,N/A,1970-01-01,10002007,False,N/A,False,,US_NYSE
US.LIST20077,Semiconductors,0,PLATE,N/A,,N/A,,N/A,N/A,1970-01-01,10100075,False,N/A,False,,US_NYSE
US.LIST2008,Publishing,0,PLATE,N/A,,N/A,,N/A,N/A,1970-01-01,10002008,False,N/A,False,,US_NYSE
US.LIST2010,Agricultural Inputs,0,PLATE,N/A,,N/A,,N/A,N/A,1970-01-01,10002010,False,N/A,False,,US_NYSE
US.LIST2011,Diagnostics & Research,0,PLATE,N/A,,N/A,,N/A,N/A,1970-01-01,10002011,False,N/A,False,,US_NYSE
US.LIST2014,Medical Instruments & Supplies,0,PLATE,N/A,,N/A,,N/A,N/A,1970-01-01,10002014,False,N/A,False,,US_NYSE
US.LIST2015,Semiconductors,0,PLATE,N/A,,N/A,,N/A,N/A,1970-01-01,10002015,False,N/A,False,,US_NYSE
US.LIST2016,Semiconductor Equipment & Materials,0,PLATE,N/A,,N/A,,N/A,N/A,1970-01-01,10002016,False,N/A,False,,US_NYSE
US.LIST2020,Chemicals,0,PLATE,N/A,,N/A,,N/A,N/A,1970-01-01,10002020,False,N/A,False,,US_NYSE
US.LIST2030,Advertising Agencies,0,PLATE,N/A,,N/A,,N/A,N/A,1970-01-01,10002030,False,N/A,False,,US_NYSE
US.LIST2033,Engineering & Construction,0,PLATE,N/A,,N/A,,N/A,N/A,1970-01-01,10002033,False,N/A,False,,US_NYSE
US.LIST2034,Building Materials,0,PLATE,N/A,,N/A,,N/A,N/A,1970-01-01,10002034,False,N/A,False,,US_NYSE
US.LIST2038,Real Estate Services,0,PLATE,N/A,,N/A,,N/A,N/A,1970-01-01,10002038,False,N/A,False,,US_NYSE
US.LIST2044,Education & Training Services,0,PLATE,N/A,,N/A,,N/A,N/A,1970-01-01,10002044,False,N/A,False,,US_NYSE
US.LIST2046,Resorts & Casinos,0,PLATE,N/A,,N/A,,N/A,N/A,1970-01-01,10002046,False,N/A,False,,US_NYSE
US.LIST2047,Solar,0,PLATE,N/A,,N/A,,N/A,N/A,1970-01-01,10002047,False,N/A,False,,US_NYSE
US.LIST2049,Apparel Manufacturing,0,PLATE,N/A,,N/A,,N/A,N/A,1970-01-01,10002049,False,N/A,False,,US_NYSE
US.LIST2052,Lumber & Wood Production,0,PLATE,N/A,,N/A,,N/A,N/A,1970-01-01,10002052,False,N/A,False,,US_NYSE
US.LIST2055,Auto Parts,0,PLATE,N/A,,N/A,,N/A,N/A,1970-01-01,10002055,False,N/A,False,,US_NYSE
