Symbol,Name,Long Initial Margin,Long Maint Margin,Short Initial Margin,Short Maint Margin,Risk Rate
451CVR021,,0.8,0.75,1.35,1.3,
901ESC012,,1.0,1.0,5.25,2.0,
A,,0.3,0.25,0.35,0.3,
AA,,0.4,0.35,0.45,0.4,
AAAU,,0.4,0.35,0.45,0.4,
AAL,,0.55,0.5,0.35,0.3,
AAMI,,0.8,0.75,0.6,0.55,
AAOI,,0.8,0.75,1.1,1.05,
AAON,,0.5,0.45,0.55,0.5,
AAON.OLD,,0.5,0.45,0.55,0.5,
AAON1,,0.5,0.45,0.55,0.5,
AAP,,0.7,0.65,0.65,0.6,
AAPL,,0.3,0.25,0.35,0.3,
AAPU,,0.6,0.55,,,
AAT,,0.8,0.75,0.4,0.35,
AAXJ,,0.3,0.25,0.35,0.3,
AB,,1.0,1.0,2.85,2.0,
ABAT,,1.0,1.0,2.56,2.0,
ABB1,,0.3,0.25,0.35,0.3,
ABBV,,0.3,0.25,0.35,0.3,
ABBV1,,0.3,0.25,0.35,0.3,
ABCB,,0.7,0.65,0.35,0.3,
ABCL,,0.9,0.85,0.75,0.7,
ABEO,,0.9,0.85,,,
ABEO.OLD,,0.9,0.85,,,
ABEV,,0.45,0.4,0.5,0.45,
ABFL,,0.55,0.5,,,
ABG,,0.7,0.65,0.35,0.3,
ABL,,0.9,0.85,,,
ABM,,0.8,0.75,0.35,0.3,
ABNB,,0.3,0.25,0.35,0.3,
ABR,,0.8,0.75,0.35,0.3,
ABSI,,0.9,0.85,,,
ABT,,0.3,0.25,0.35,0.3,
ABUS,,0.9,0.85,,,
ACA,,0.7,0.65,0.35,0.3,
ACAD,,0.7,0.65,0.45,0.4,
ACB,,0.9,0.85,,,
ACB1,,0.9,0.85,,,
ACCO,,0.9,0.85,,,
ACDC,,0.8,0.75,0.7,0.65,
ACEL,,0.9,0.85,0.55,0.5,
ACES,,0.6,0.55,,,
ACGL,,0.3,0.25,0.35,0.3,
ACHC,,0.8,0.75,0.4,0.35,
ACHR,,0.5,0.45,0.65,0.6,
ACI,,0.3,0.25,0.35,0.3,
ACI1,,0.3,0.25,0.35,0.3,
ACIC,,0.9,0.85,0.75,0.7,
ACIO,,0.4,0.25,0.35,0.3,
901ESC012,,1.0,1.0,5.25,2.0,
A,,0.3,0.25,0.35,0.3,
AA,,0.4,0.35,0.45,0.4,
AAAU,,0.4,0.35,0.45,0.4,
AAL,,0.55,0.5,0.35,0.3,
AAMI,,0.8,0.75,0.6,0.55,
AAOI,,0.8,0.75,1.1,1.05,
AAON,,0.5,0.45,0.55,0.5,
AAON.OLD,,0.5,0.45,0.55,0.5,
AAON1,,0.5,0.45,0.55,0.5,
AAP,,0.7,0.65,0.65,0.6,
AAPL,,0.3,0.25,0.35,0.3,
AAPU,,0.6,0.55,,,
AAT,,0.8,0.75,0.4,0.35,
AAXJ,,0.3,0.25,0.35,0.3,
AB,,1.0,1.0,2.85,2.0,
ABAT,,1.0,1.0,2.56,2.0,
ABB1,,0.3,0.25,0.35,0.3,
ABBV,,0.3,0.25,0.35,0.3,
ABBV1,,0.3,0.25,0.35,0.3,
